,Text,Label,text_tokenized,text_tokenized2
20000,가족들에게 미안해 죽겠어.,당황,"['가족', '미안하다', '죽다']","['가족', '미안하다', '죽다']"
20001,요즘 너무 신이 나서 어제 회사에 커피를 돌렸어.,기쁨,"['요즘', '너무', '신', '나서다', '어제', '회사', '커피', '돌리다']","['요즘', '신', '나서다', '어제', '회사', '커피', '돌리다']"
20002,내가 지금 진로를 못 정해서 부모님이 잔소리하시는데 너무 화가 나네.,분노,"['내', '지금', '진로', '못', '정해', '부모님', '잔소리', '하다', '너무', '화가', '나다']","['지금', '진로', '정해', '부모님', '잔소리', '화가', '나다']"
20003,너무 배신감 느껴.,슬픔,"['너무', '배신', '감', '느끼다']","['배신', '감', '느끼다']"
20004,들어가고 싶은 회사 채용공고가 나왔는데 좌절했어.,분노,"['들어가다', '싶다', '회사', '채용', '고가', '나오다', '좌절', '하다']","['들어가다', '싶다', '회사', '채용', '고가', '나오다', '좌절']"
20005,사장님이 나를 혼낼 때 직원들 앞이 아닌 따로 불러서 혼냈으면 좋겠어.,당황,"['사장', '나르다', '혼내다', '때', '직원', '앞', '아니다', '따로', '불다', '혼내다', '좋다']","['사장', '나르다', '혼내다', '직원', '아니다', '따로', '불다', '혼내다', '좋다']"
20006,내가 얼마 전에 팀으로 공모전에 당선되었는데 그걸 주최했던 회사에서 팀원 중에 나만 채용하겠다고 연락이 왔어.,당황,"['내', '얼마', '전', '팀', '공모전', '당선', '되어다', '그걸', '주최', '하다', '회사', '팀', '중', '나', '채용', '하다', '연락', '오다']","['팀', '공모전', '당선', '그걸', '주최', '회사', '팀', '채용', '연락', '오다']"
20007,박 씨가 입원 중에 주식을 했는데 사는 것마다 대박이야.,상처,"['박', '씨', '입원', '중', '주식', '하다', '살다', '것', '대박']","['박', '씨', '입원', '주식', '살다', '대박']"
20008,살면서 제일 억울한 게 남들이 오해해서 날 의심하는 거야.,상처,"['살다', '제일', '억울하다', '게', '남', '오해해', '날', '의심', '하다']","['살다', '제일', '억울하다', '남', '오해해', '의심']"
20009,나 이번에 회사에서 잘렸어.,슬픔,"['나', '이번', '회사', '잘리다']","['회사', '잘리다']"
20010,남자친구가 늘 내 마음을 몰라주는 것 같아서 고민이야.,상처,"['남자친구', '늘', '내', '마음', '모르다', '것', '같다', '고민']","['남자친구', '늘', '마음', '모르다', '고민']"
20011,내일 동아리에서 새로운 사람들을 만나는데 못 친해질까 봐 너무 걱정돼.,불안,"['내일', '동아리', '새롭다', '사람', '만나다', '못', '친해지다', '보다', '너무', '걱정', '돼다']","['내일', '동아리', '새롭다', '사람', '만나다', '친해지다', '보다', '걱정']"
20012,나 유급 위기에 처해있어.,불안,"['나', '유급', '위기', '처', '하다']","['유급', '위기', '처']"
20013,내 악성 빈혈이 우리 손녀한테 유전되는 게 아닐까 걱정되네.,당황,"['내', '악성', '빈혈', '우리', '손녀', '유전', '되다', '게', '아니다', '걱정', '되다']","['악성', '빈혈', '손녀', '유전', '아니다', '걱정']"
20014,출산을 한 날에 남편이 사고로 죽었어.,상처,"['출산', '하다', '날', '남편', '사고', '죽다']","['출산', '남편', '사고', '죽다']"
20015,나 말고 다른 사람들은 정말 여유로운 생활을 하는 것 같아. 하고 싶은 것도 다 하는 거 같고 사고 싶은 것도 다 사는 거 같고. 나만 뒤처져서 사는 것 같은 기분이 들어.,당황,"['나', '다른', '사람', '정말', '여유', '생활', '하다', '것', '같다', '하다', '싶다', '것', '다', '하다', '거', '같다', '사고', '싶다', '것', '다', '살다', '거', '같다', '나', '뒤', '처지다', '살다', '것', '같다', '기분', '들다']","['사람', '정말', '여유', '생활', '싶다', '사고', '싶다', '살다', '처지다', '살다', '기분', '들다']"
20016,이번에 코로나 때문에 월급이 삭감된다는 거야.,기쁨,"['이번', '코로나', '때문', '월급', '삭감', '되다']","['코로나', '때문', '월급', '삭감']"
