,Text,Label,text_tokenized,text_tokenized2
30000,아니 사람들은 왜 자기 일도 아니면서 참견하고 난리야?,분노,"['아니다', '사람', '왜', '자기', '일도', '아니다', '참견', '난리']","['아니다', '사람', '일도', '아니다', '참견', '난리']"
30001,차장님이랑 친해지지 말았어야 했어. 이젠 잔심부름도 죄다 나한테 시키네.,분노,"['차장', '친해지다', '말다', '하다', '젠', '잔', '심부름', '죄다', '나', '시키다']","['차장', '친해지다', '말다', '젠', '잔', '심부름', '죄다']"
30002,학교에서 이제 아무도 나랑 밥을 같이 먹어주지 않아. 서럽다.,슬픔,"['학교', '이제', '아무', '나', '밥', '같이', '먹어주다', '않다', '서럽다']","['학교', '이제', '아무', '밥', '먹어주다', '않다', '서럽다']"
30003,마음을 졸이고 있었는데 원하던 고등학교에 합격했어.,기쁨,"['마음', '졸', '있다', '원하다', '고등학교', '합격', '하다']","['마음', '졸', '원하다', '고등학교', '합격']"
30004,건강 검진 결과지 종이를 의사 선생님께 받았는데 결과가 좋지 않을까 봐 무서워.,불안,"['건강', '검진', '결과', '종이', '의사', '선생님', '받다', '결과', '좋다', '않다', '보다', '무섭다']","['건강', '검진', '결과', '종이', '의사', '선생님', '받다', '결과', '좋다', '않다', '보다', '무섭다']"
30005,선생님이 내가 학교폭력을 저질렀다고 학교폭력위원회에 넘길까 봐 애가 타.,분노,"['선생님', '내', '학교폭력', '저지르다', '학교폭력', '위원회', '넘다', '보다', '애가', '타']","['선생님', '학교폭력', '저지르다', '학교폭력', '위원회', '넘다', '보다', '애가', '타']"
30006,어떻게 남편이 나 몰래 회사를 관두고도 계속 다닌것처럼 행동할 수 있는지. 너무 화가 나고 실망스러워.,슬픔,"['어떻다', '남편', '나', '몰래', '회사', '관', '고도', '계속', '다니다', '행동', '하다', '수', '있다', '너무', '화가', '나다', '실망', '스럽다']","['어떻다', '남편', '몰래', '회사', '관', '고도', '계속', '다니다', '행동', '화가', '나다', '실망', '스럽다']"
30007,사과를 매일 먹었더니 피부가 좋아진 것 같아서 기분이 좋아.,기쁨,"['사과', '매일', '먹다', '피부', '좋아지다', '것', '같다', '기분', '좋다']","['사과', '매일', '먹다', '피부', '좋아지다', '기분', '좋다']"
30008,벌써 이번 학기가 마지막이라 졸업인데 학점도 엉망이고 외국어 시험 성적도 엉망이고. 실력이 취업하기엔 너무 형편없는 것 같은데 뭘 해야 할지 막막하고 우울하다.,슬픔,"['벌써', '이번', '학기', '마지막', '졸업', '학점', '엉망', '외국어', '시험', '성적', '엉망', '실력', '취업', '하다', '너무', '형편', '없다', '것', '같다', '뭘', '하다', '하다', '막막하다', '우울하다']","['벌써', '학기', '마지막', '졸업', '학점', '엉망', '외국어', '시험', '성적', '엉망', '실력', '취업', '형편', '뭘', '막막하다', '우울하다']"
30009,어제 딸이 생일이라고 백만 원을 선물로 주어서 기뻐.,기쁨,"['어제', '딸', '생일', '백만', '원', '선물', '주어', '기쁘다']","['어제', '딸', '생일', '백만', '선물', '주어', '기쁘다']"
