,Text,Label,text_tokenized,text_tokenized2
10000,오늘 동생 결혼식이었는데 눈물 나더라.,슬픔,"['오늘', '동생', '결혼식', '이다', '눈물', '나다']","['오늘', '동생', '결혼식', '눈물', '나다']"
10001,친구들을 생일파티에 초대했는데 아무도 오지 않았어. 서러워 정말.,슬픔,"['친구', '생일', '파티', '초대', '하다', '아무', '오지', '않다', '서럽다', '정말']","['친구', '생일', '파티', '초대', '아무', '오지', '않다', '서럽다', '정말']"
10002,요즘 남편과 대화가 없고 각자 할 일만 하고 있어.,슬픔,"['요즘', '남편', '대화', '없다', '각자', '하다', '일만', '하다', '있다']","['요즘', '남편', '대화', '일만']"
10003,우리 부모님은 왜 자꾸 내 외모를 가지고 뭐라 하는 건지 모르겠어.,슬픔,"['우리', '부모님', '왜', '자꾸', '내', '외모', '가지', '뭐라다', '하다', '건지다', '모르다']","['부모님', '자꾸', '외모', '가지', '뭐라다', '건지다', '모르다']"
10004,집에만 오면 나 혼자인 것 같아 외로워.,당황,"['집', '오다', '나', '혼자', '것', '같다', '외로워']","['집', '오다', '외로워']"
10005,나이 들면서 돈이 없다는 건 참 비참한 일이야. 속상해.,분노,"['나이', '들다', '돈', '없다', '건', '차다', '비참하다', '일이', '속상하다']","['나이', '들다', '돈', '차다', '비참하다', '일이', '속상하다']"
10006,아픈 게 내 잘못도 아닌데 잔소리하는 아내가 싫어.,분노,"['아프다', '게', '내', '잘못', '아니다', '잔소리', '하다', '아내', '싫다']","['아프다', '잘못', '아니다', '잔소리', '아내', '싫다']"
10007,갑자기 팀장님이 회의실로 부르셨어. 무슨 일인지 불안해.,불안,"['갑자기', '팀', '장님', '회의실', '부르다', '무슨', '일인', '불안하다']","['갑자기', '팀', '장님', '회의실', '부르다', '일인', '불안하다']"
10008,병원에서 위암 말기여서 위 대부분을 절제해야 한다고 하네. 너무 막막하고 슬퍼.,슬픔,"['병원', '위암', '말기', '위', '대부분', '절제', '하다', '하다', '하다', '너무', '막막하다', '슬프다']","['병원', '위암', '말기', '대부분', '절제', '막막하다', '슬프다']"
10009,요즘엔 사람을 만나도 깊은 속 얘기를 안 해. 사람을 만나도 뭔가 허전하고 시간 아깝고 그러네.,불안,"['요즘', '사람', '만나다', '깊다', '속', '얘기', '안', '해', '사람', '만나다', '뭔가', '허전하다', '시간', '아깝다', '그렇다']","['요즘', '사람', '만나다', '깊다', '속', '얘기', '사람', '만나다', '뭔가', '허전하다', '아깝다', '그렇다']"
